Origin,ShiftDate,TimeStamp,Equipment,TruckFleet,FuelLevelLiters,LastRefuel,Shift,FuelLevel
SST,2024-11-20,2024-11-20T07:00:00.000000,T-210,CAT789C,2713.0,86400,D,84.7812
SST,2024-11-21,2024-11-21T07:00:00.000000,T-210,CAT789C,2510.0,86400,D,78.4375
SURTIDOR-TRUCKSHOP,2024-11-22,2024-11-22T10:15:56.327000,T-210,CAT789C,2599.0,98156,D,81.2188
SST,2024-11-23,2024-11-23T07:00:00.000000,T-210,CAT789C,2477.0,74643,D,77.4062
SST,2024-11-24,2024-11-24T07:00:00.000000,T-210,CAT789C,2751.0,86400,D,85.9688
P068,2024-11-26,2024-11-26T07:00:00.000000,T-210,CAT789C,2668.0,172800,D,83.375
P068,2024-11-27,2024-11-27T07:00:00.000000,T-210,CAT789C,2277.0,86400,D,71.1562
SURTIDOR-TRUCKSHOP,2024-11-28,2024-11-28T04:37:54.860000,T-210,CAT789C,1772.0,77874,N,55.375
P068,2024-11-28,2024-11-28T19:00:00.000000,T-210,CAT789C,2481.0,51725,D,77.5312
P068,2024-11-29,2024-11-29T07:00:00.000000,T-210,CAT789C,2210.0,43200,D,69.0625
SST,2024-11-30,2024-11-30T07:00:00.000000,T-210,CAT789C,1915.0,86400,D,59.8437
SST,2024-11-30,2024-11-30T20:00:00.000000,T-210,CAT789C,2543.0,46800,N,79.4688
SURTIDOR-TRUCKSHOP,2024-12-02,2024-12-02T04:27:25.000000,T-210,CAT789C,2361.0,116845,N,73.7812
SST,2024-12-02,2024-12-02T19:00:00.000000,T-210,CAT789C,2320.0,52355,D,72.5
SST,2024-12-03,2024-12-03T19:00:00.000000,T-210,CAT789C,2406.0,86400,D,75.1875
SST,2024-12-04,2024-12-04T19:00:00.000000,T-210,CAT789C,2320.0,86400,D,72.5
SST,2024-12-05,2024-12-05T07:00:00.000000,T-210,CAT789C,2212.0,43200,D,69.125
SST,2024-12-06,2024-12-06T07:00:00.000000,T-210,CAT789C,2289.0,86400,D,71.5312
SST,2024-12-07,2024-12-07T07:00:00.000000,T-210,CAT789C,2647.0,86400,D,82.7188
SST,2024-12-08,2024-12-08T07:00:00.000000,T-210,CAT789C,2349.0,86400,D,73.4062
SST,2024-12-09,2024-12-09T19:00:00.000000,T-210,CAT789C,2440.0,129600,D,76.25
SST,2024-12-10,2024-12-10T07:00:00.000000,T-210,CAT789C,2325.0,43200,D,72.6562
SURTIDOR-TRUCKSHOP,2024-12-11,2024-12-11T16:35:04.740000,T-210,CAT789C,2458.0,120904,D,76.8125
SURTIDOR-TRUCKSHOP,2024-12-13,2024-12-13T16:45:55.980000,T-210,CAT789C,2428.0,173451,D,75.875
SST,2024-12-13,2024-12-13T19:00:00.000000,T-210,CAT789C,2183.0,8044,D,68.2188
SST,2024-12-14,2024-12-14T19:00:00.000000,T-210,CAT789C,2311.0,86400,D,72.2188
P068,2024-12-15,2024-12-15T19:00:00.000000,T-210,CAT789C,2244.0,86400,D,70.125
SST,2024-12-16,2024-12-16T07:00:00.000000,T-210,CAT789C,2544.0,43200,D,79.5
SST,2024-12-17,2024-12-17T19:00:00.000000,T-210,CAT789C,2000.0,129600,D,62.5
SST,2024-12-18,2024-12-18T19:00:00.000000,T-210,CAT789C,2667.0,86400,D,83.3438
SST,2024-12-20,2024-12-20T07:00:00.000000,T-210,CAT789C,2050.0,129600,D,64.0625
SST,2024-12-20,2024-12-20T19:00:00.000000,T-210,CAT789C,2264.0,43200,D,70.75
SST,2024-12-21,2024-12-21T19:00:00.000000,T-210,CAT789C,2362.0,86400,D,73.8125
P068,2024-12-22,2024-12-22T20:00:00.000000,T-210,CAT789C,2614.0,90000,N,81.6875
SST,2024-12-23,2024-12-23T08:00:00.000000,T-210,CAT789C,2374.0,43200,D,74.1875
SST,2024-12-24,2024-12-24T08:00:00.000000,T-210,CAT789C,2315.0,86400,D,72.3438
SST,2024-12-25,2024-12-25T08:00:00.000000,T-210,CAT789C,2400.0,86400,D,75.0
P068,2024-12-26,2024-12-26T08:00:00.000000,T-210,CAT789C,2600.0,86400,D,81.25
SST,2024-12-26,2024-12-26T20:00:00.000000,T-210,CAT789C,1502.0,43200,N,46.9375
SST,2024-12-27,2024-12-27T08:00:00.000000,T-210,CAT789C,2237.0,43200,D,69.9062
SST,2024-12-28,2024-12-28T07:00:00.000000,T-210,CAT789C,2151.0,82800,D,67.2188
SST,2024-12-29,2024-12-29T07:00:00.000000,T-210,CAT789C,2016.0,86400,D,63.0
SST,2024-12-29,2024-12-29T19:00:00.000000,T-210,CAT789C,2430.0,43200,D,75.9375
SST,2024-12-30,2024-12-30T19:00:00.000000,T-210,CAT789C,2436.0,86400,D,76.125
SST,2024-12-31,2024-12-31T19:00:00.000000,T-210,CAT789C,2203.0,86400,D,68.8438
SST,2025-01-01,2025-01-01T19:00:00.000000,T-210,CAT789C,2474.0,86400,D,77.3125
SST,2025-01-02,2025-01-02T07:00:00.000000,T-210,CAT789C,2560.0,43200,D,80.0
SST,2025-01-03,2025-01-03T07:00:00.000000,T-210,CAT789C,2015.0,86400,D,62.9687
P068,2025-01-04,2025-01-04T07:00:00.000000,T-210,CAT789C,2374.0,86400,D,74.1875
P068,2025-01-04,2025-01-04T19:00:00.000000,T-210,CAT789C,1748.0,43200,D,54.625
P068,2025-01-05,2025-01-05T19:00:00.000000,T-210,CAT789C,2178.0,86400,D,68.0625
P068,2025-01-06,2025-01-06T19:00:00.000000,T-210,CAT789C,2511.0,86400,D,78.4688
SST,2025-01-09,2025-01-09T07:00:00.000000,T-210,CAT789C,2524.0,216000,D,78.875
SST,2025-01-10,2025-01-10T07:00:00.000000,T-210,CAT789C,2160.0,86400,D,67.5
SST,2025-01-11,2025-01-11T07:00:00.000000,T-210,CAT789C,2318.0,86400,D,72.4375
SST,2025-01-12,2025-01-12T07:00:00.000000,T-210,CAT789C,2416.0,86400,D,75.5
SST,2025-01-13,2025-01-13T07:00:00.000000,T-210,CAT789C,2543.0,86400,D,79.4688
SST,2025-01-13,2025-01-13T19:00:00.000000,T-210,CAT789C,2265.0,43200,D,70.7812
SST,2025-01-14,2025-01-14T19:00:00.000000,T-210,CAT789C,2472.0,86400,D,77.25
SST,2025-01-15,2025-01-15T07:00:00.000000,T-210,CAT789C,2402.0,43200,D,75.0625
P068,2025-01-16,2025-01-16T07:00:00.000000,T-210,CAT789C,2821.0,86400,D,88.1562
SST,2025-01-17,2025-01-17T07:00:00.000000,T-210,CAT789C,2544.0,86400,D,79.5
SST,2025-01-18,2025-01-18T07:00:00.000000,T-210,CAT789C,2668.0,86400,D,83.375
P068,2025-01-19,2025-01-19T19:00:00.000000,T-210,CAT789C,2534.0,129600,D,79.1875
SURTIDOR-TRUCKSHOP,2025-01-20,2025-01-20T21:03:45.330000,T-210,CAT789C,2444.0,93825,N,76.375
SST,2025-01-21,2025-01-21T06:00:00.000000,T-210,CAT789C,2372.0,32174,N,74.125
P068,2025-01-22,2025-01-22T06:00:00.000000,T-210,CAT789C,2400.0,86400,N,75.0
SURTIDOR-TRUCKSHOP,2025-01-23,2025-01-23T23:40:39.860000,T-210,CAT789C,2564.0,150039,N,80.125
SST,2025-01-24,2025-01-24T06:00:00.000000,T-210,CAT789C,2645.0,22760,N,82.6562
P068,2025-01-25,2025-01-25T19:00:00.000000,T-210,CAT789C,2648.0,133200,D,82.75
P068,2025-01-26,2025-01-26T19:00:00.000000,T-210,CAT789C,2600.0,86400,D,81.25
P068,2025-01-27,2025-01-27T19:00:00.000000,T-210,CAT789C,2630.0,86400,D,82.1875
P068,2025-01-28,2025-01-28T19:00:00.000000,T-210,CAT789C,2531.0,86400,D,79.0938
P068,2025-01-29,2025-01-29T19:00:00.000000,T-210,CAT789C,2730.0,86400,D,85.3125
SST,2025-01-30,2025-01-30T07:00:00.000000,T-210,CAT789C,2008.0,43200,D,62.75
P068,2025-01-31,2025-01-31T07:00:00.000000,T-210,CAT789C,2505.0,86400,D,78.2812
P068,2025-01-31,2025-01-31T19:00:00.000000,T-210,CAT789C,2393.0,43200,D,74.7812
P068,2025-02-01,2025-02-01T18:00:00.000000,T-210,CAT789C,2281.0,82800,D,71.2812
SST,2025-02-02,2025-02-02T06:00:00.000000,T-210,CAT789C,2243.0,43200,N,70.0938
SST,2025-02-03,2025-02-03T06:00:00.000000,T-210,CAT789C,2281.0,86400,N,71.2812
SST,2025-02-04,2025-02-04T06:00:00.000000,T-210,CAT789C,2248.0,86400,N,70.25
P068,2025-02-05,2025-02-05T06:00:00.000000,T-210,CAT789C,2222.0,86400,N,69.4375
SST,2025-02-05,2025-02-05T19:00:00.000000,T-210,CAT789C,2048.0,46800,D,64.0
SST,2025-02-06,2025-02-06T06:00:00.000000,T-210,CAT789C,2045.0,39600,N,63.9062
SST,2025-02-07,2025-02-07T19:00:00.000000,T-210,CAT789C,2307.0,133200,D,72.0938
SST,2025-02-08,2025-02-08T06:00:00.000000,T-210,CAT789C,2171.0,39600,N,67.8438
SST,2025-02-09,2025-02-09T06:00:00.000000,T-210,CAT789C,2057.0,86400,N,64.2812
SURTIDOR-TRUCKSHOP,2025-02-10,2025-02-10T14:58:04.560000,T-210,CAT789C,1464.0,118684,D,45.75
P068,2025-02-10,2025-02-10T19:00:00.000000,T-210,CAT789C,2370.0,14515,D,74.0625
SURTIDOR-TRUCKSHOP,2025-02-11,2025-02-11T14:35:25.530000,T-210,CAT789C,1527.0,70525,D,47.7188
SURTIDOR-TRUCKSHOP,2025-02-12,2025-02-12T02:40:14.140000,T-210,CAT789C,2350.0,43488,N,73.4375
SST,2025-02-12,2025-02-12T19:00:00.000000,T-210,CAT789C,2376.0,58785,D,74.25
P068,2025-02-13,2025-02-13T19:00:00.000000,T-210,CAT789C,2480.0,86400,D,77.5
P068,2025-02-14,2025-02-14T19:00:00.000000,T-210,CAT789C,2499.0,86400,D,78.0938
P068,2025-02-15,2025-02-15T19:00:00.000000,T-210,CAT789C,2427.0,86400,D,75.8438
SURTIDOR-TRUCKSHOP,2025-02-16,2025-02-16T16:31:07.780000,T-210,CAT789C,2448.0,77467,D,76.5
SURTIDOR-TRUCKSHOP,2025-02-17,2025-02-17T19:35:56.743000,T-210,CAT789C,2576.0,97488,D,80.5
SST,2025-02-18,2025-02-18T07:00:00.000000,T-210,CAT789C,2284.0,41043,D,71.375
P068,2025-02-19,2025-02-19T19:00:00.000000,T-210,CAT789C,2668.0,129600,D,83.375
SST,2025-02-20,2025-02-20T07:00:00.000000,T-210,CAT789C,2731.0,43200,D,85.3438
P068,2025-02-21,2025-02-21T07:00:00.000000,T-210,CAT789C,2310.0,86400,D,72.1875
P068,2025-02-21,2025-02-21T19:00:00.000000,T-210,CAT789C,2427.0,43200,D,75.8438
SURTIDOR-TRUCKSHOP,2025-02-23,2025-02-23T05:40:30.527000,T-210,CAT789C,2385.0,124830,N,74.5312
P068,2025-02-23,2025-02-23T20:00:00.000000,T-210,CAT789C,2424.0,51569,N,75.75
P068,2025-02-24,2025-02-24T20:00:00.000000,T-210,CAT789C,2434.0,86400,N,76.0625
SST,2025-02-25,2025-02-25T08:00:00.000000,T-210,CAT789C,1860.0,43200,D,58.125
P068,2025-02-26,2025-02-26T08:00:00.000000,T-210,CAT789C,2700.0,86400,D,84.375
SST,2025-02-26,2025-02-26T20:00:00.000000,T-210,CAT789C,2549.0,43200,N,79.6562
P068,2025-02-27,2025-02-27T20:00:00.000000,T-210,CAT789C,2512.0,86400,N,78.5
